Tree,Date,Observers,Note,Phase,# Old Bracts,% Old Fruit,Color Old Fruit (1-3),# New Bracts,% New Fruit,Color New Fruit (1-3),Flowers on ground (0-3),,,,,,,,,,,,,,
19,26/10/2017,ENI,,M,7,670,0,0,0,No,0,,,,,,,,,,,,,,
2,26/10/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
3,26/10/2017,ENI,,P,5,0,0,0,0,No,0,,,,,,,,,,,,,,
15,26/10/2017,ENI,,M,2,160,0,0,0,No,0,,,,,,,,,,,,,,
10,26/10/2017,ENI,,M,4,160,0,0,0,No,0,,,,,,,,,,,,,,
5,26/10/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
14,26/10/2017,ENI,,M,4,370,0,0,0,No,0,,,,,,,,,,,,,,
7,26/10/2017,ENI,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
8,26/10/2017,ENI,,P,6,0,0,0,0,No,0,,,,,,,,,,,,,,
4,26/10/2017,ENI,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
9,26/10/2017,ENI,Note: Can't see shit,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
6,26/10/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
13,26/10/2017,ENI,,M,5,330,0,0,0,No,0,,,,,,,,,,,,,,
12,26/10/2017,ENI,,M,6,500,0,0,0,No,0,,,,,,,,,,,,,,
16,26/10/2017,ENI,,M,6,50,0,0,0,No,0,,,,,,,,,,,,,,
11,26/10/2017,ENI,,M,1,90,0,0,0,No,0,,,,,,,,,,,,,,
17,26/10/2017,ENI,,M,6,540,0,0,0,No,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,07/11/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
1,07/11/2017,ENI,Missed B phase,F,1,0,3,0,300,No,0,,,,,,,,,,,,,,
18,07/11/2017,ENI,,M,3,430,0,0,0,No,0,,,,,,,,,,,,,,
19,07/11/2017,ENI,,M,6,550,0,0,0,No,0,,,,,,,,,,,,,,
2,07/11/2017,ENI,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
3,07/11/2017,ENI,Missed B phase,F,1,0,3,0,250,No,0,,,,,,,,,,,,,,
15,07/11/2017,ENI,Lots of ripe fruits on ground,M,2,100,0,0,0,No,0,,,,,,,,,,,,,,
10,07/11/2017,ENI,,M,4,90,0,0,0,No,0,,,,,,,,,,,,,,
5,07/11/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
14,07/11/2017,ENI,,M,5,450,0,0,0,No,0,,,,,,,,,,,,,,
7,08/11/2017,ENI,Missed B phase,F,2,0,1,0,100,Yes,0,,,,,,,,,,,,,,
8,08/11/2017,ENI,Missed B phase,F,0,0,5,0,500,Yes,0,,,,,,,,,,,,,,
4,08/11/2017,ENI,Missed B phase,F,0,0,2,0,100,No,0,,,,,,,,,,,,,,
9,07/11/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
6,07/11/2017,ENI,Missed B phase,F,2,0,2,0,200,No,0,,,,,,,,,,,,,,
13,07/11/2017,ENI,"BUDS, not opened flowers",B,3,270,2,200,0,No,0,,,,,,,,,,,,,,
12,07/11/2017,ENI,,M,6,500,0,0,0,No,0,,,,,,,,,,,,,,
16,07/11/2017,ENI,,M,7,20,0,0,0,No,0,,,,,,,,,,,,,,
11,07/11/2017,ENI,,M,2,120,0,0,0,No,0,,,,,,,,,,,,,,
17,07/11/2017,ENI,,M,6,550,0,0,0,No,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,24/11/2017,ENI,,P,1,0,0,,0,No,0,,,,,,,,,,,,,,
1,24/11/2017,ENI,,F,2,0,2,,200,No,0,,,,,,,,,,,,,,
18,24/11/2017,ENI,,M,5,450,0,,0,No,0,,,,,,,,,,,,,,
19,24/11/2017,ENI,,M,6,410,0,,0,No,0,,,,,,,,,,,,,,
2,24/11/2017,ENI,,P,3,0,0,,0,No,0,,,,,,,,,,,,,,
3,24/11/2017,ENI,,F,4,0,1,,100,No,0,,,,,,,,,,,,,,
15,24/11/2017,ENI,,M,2,20,0,,0,No,0,,,,,,,,,,,,,,
10,24/11/2017,ENI,,M,3,80,0,,0,No,0,,,,,,,,,,,,,,
5,24/11/2017,ENI,,P,2,0,0,,0,No,0,,,,,,,,,,,,,,
14,24/11/2017,ENI,,M,5,200,0,,0,No,0,,,,,,,,,,,,,,
7,24/11/2017,ENI,,P,2,0,0,,0,No,0,,,,,,,,,,,,,,
8,24/11/2017,ENI,,F,0,0,6,,560,No,0,,,,,,,,,,,,,,
4,24/11/2017,ENI,,F,1,0,1,,100,No,0,,,,,,,,,,,,,,
9,24/11/2017,ENI,,F,8,0,1,,100,No,0,,,,,,,,,,,,,,
6,24/11/2017,ENI,,F,2,0,1,,100,No,0,,,,,,,,,,,,,,
13,24/11/2017,ENI,,F,3,150,2,,200,No,0,,,,,,,,,,,,,,
12,24/11/2017,ENI,,F,4,240,2,,200,No,0,,,,,,,,,,,,,,
16,24/11/2017,ENI,,M,10,50,0,,0,No,0,,,,,,,,,,,,,,
11,24/11/2017,ENI,,M,2,30,0,,0,No,0,,,,,,,,,,,,,,
17,24/11/2017,ENI,,M,7,625,0,0,0,No,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,07/12/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
1,07/12/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
18,07/12/2017,ENI,5 bracts with mature fruit cut off; fruit not removed,M,NA,NA,0,0,0,No,0,,,,,,,,,,,,,,
19,07/12/2017,ENI,4 bracts with fruit cut; fruit removed,M,NA,NA,0,0,0,No,0,,,,,,,,,,,,,,
2,07/12/2017,ENI,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
3,07/12/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
15,07/12/2017,ENI,,M,3,105,0,0,0,No,0,,,,,,,,,,,,,,
10,07/12/2017,ENI,,M,3,50,0,0,0,No,0,,,,,,,,,,,,,,
5,07/12/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
14,07/12/2017,ENI,,M,5,350,0,0,0,No,0,,,,,,,,,,,,,,
7,07/12/2017,ENI,,P,1,0,0,0,0,No,0,,,,,,,,,,,,,,
8,07/12/2017,ENI,,P,4,0,0,0,0,No,0,,,,,,,,,,,,,,
4,07/12/2017,ENI,,P,2,0,0,0,0,No,0,,,,,,,,,,,,,,
9,07/12/2017,ENI,,D,0,0,0,0,0,No,0,,,,,,,,,,,,,,
6,07/12/2017,ENI,,P,3,0,0,0,0,No,0,,,,,,,,,,,,,,
13,07/12/2017,ENI,,G,4,300,1,0,0,No,100,,,,,,,,,,,,,,
12,07/12/2017,ENI,,G,6,400,1,0,0,No,100,,,,,,,,,,,,,,
16,07/12/2017,ENI,,G,3,30,4,0,0,No,230,,,,,,,,,,,,,,
11,07/12/2017,ENI,,M,2,40,0,0,0,No,0,,,,,,,,,,,,,,
17,07/12/2017,ENI,,M,4,350,0,0,0,No,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0,21/12/2017,Zephyr,,,0,,,0,0,,0,,,,,,,,,,,,,,
1,21/12/2017,Zephyr,,,4,,,0,0,,0,,,,,,,,,,,,,,
18,21/12/2017,Zephyr,,,-,,,0,0,,0,,,,,,,,,,,,,,
19,21/12/2017,Zephyr,being cut and harvested,,-,,,0,-,,0,,,,,,,,,,,,,,
2,21/12/2017,Zephyr,,,0,,,0,0,,0,,,,,,,,,,,,,,
3,21/12/2017,Zephyr,,,5,,,0,0,,0,,,,,,,,,,,,,,
15,21/12/2017,Zephyr,,,3,,,0,130,,0,,,,,,,,,,,,,,
10,21/12/2017,Zephyr,,,3,,,0,80,,0,,,,,,,,,,,,,,
5,21/12/2017,Zephyr,,,2,,,0,0,,0,,,,,,,,,,,,,,
14,21/12/2017,Zephyr,,,5,,,0,200,,0,,,,,,,,,,,,,,
7,21/12/2017,Zephyr,BH- 116,,0,,,0,0,,0,,,,,,,,,,,,,,
8,21/12/2017,Zephyr,,,7,,,0,0,,0,,,,,,,,,,,,,,
4,21/12/2017,Zephyr,,,2,,,0,0,,0,,,,,,,,,,,,,,
9,21/12/2017,Zephyr,,,1,,,0,0,,0,,,,,,,,,,,,,,
6,21/12/2017,Zephyr,,,2,,,0,0,,0,,,,,,,,,,,,,,
13,21/12/2017,Zephyr,,,4,,,2,180,,0,,,,,,,,,,,,,,
12,21/12/2017,Zephyr,being cut down after,,6,,,1,320,,0,,,,,,,,,,,,,,
16,21/12/2017,Zephyr,IBH = 114.3,,2,,,5,11,,0,,,,,,,,,,,,,,
11,21/12/2017,Zephyr,,,1,,,0,10,,0,,,,,,,,,,,,,,
17,21/12/2017,Zephyr,,,5,,,0,450,,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
17,05/01/2018,Zephyr,5 or 4?,,5,440,,0,,,0,,,,,,,,,,,,,,
16,05/01/2018,Zephyr,,,3,15,,5,,,0,,,,,,,,,,,,,,
12,05/01/2018,Zephyr,,,2,0,,1,,,0,,,,,,,,,,,,,,
11,05/01/2018,Zephyr,,,2,0,,0,,,0,,,,,,,,,,,,,,
13,05/01/2018,Zephyr,,,4,220,,2,,,0,,,,,,,,,,,,,,
6,05/01/2018,Zephyr,,,3,0,,0,,,0,,,,,,,,,,,,,,
9,05/01/2018,Zephyr,,,1,0,,0,,,0,,,,,,,,,,,,,,
4,05/01/2018,Zephyr,,,2,0,,0,,,0,,,,,,,,,,,,,,
8,05/01/2018,Zephyr,2 with lighter colour,,7,0,,0,,,0,,,,,,,,,,,,,,
14,05/01/2018,Zephyr,,,4,70,,0,,,0,,,,,,,,,,,,,,
7,05/01/2018,Zephyr,,,1,0,,0,,,0,,,,,,,,,,,,,,
5,05/01/2018,Zephyr,,,2,0,,0,,,0,,,,,,,,,,,,,,
10,05/01/2018,Zephyr,,,4,150,,0,,,0,,,,,,,,,,,,,,
15,05/01/2018,Zephyr,,,2,140,,0,,,0,,,,,,,,,,,,,,
3,05/01/2018,Zephyr,,,5,0,,0,,,0,,,,,,,,,,,,,,
2,05/01/2018,Zephyr,,,1,0,,0,,,0,,,,,,,,,,,,,,
